Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;HPRC7;LPRC1;LPRC2
2003 38 2;84;064033840853;6;0;0;0;0;1;0;0;0;1
2003 38 2;85;064033840899;6;0;0;0;0;1;0;0;0;1
2003 38 2;86;064033820887;6;0;0;0;0;0;0;1;0;1
2003 38 2;87;064033840875;6;0;0;0;0;1;0;0;0;1
2003 38 2;88;064033840890;6;0;0;0;0;1;0;0;0;1
2003 38 2;89;064033840870;6;0;0;0;0;1;0;0;0;1
2003 38 2;90;064033840880;6;0;0;0;0;1;0;0;0;1
2003 38 2;91;064033820997;1;0;0;0;0;0;0;1;0;1
2003 38 2;92;064033830770;1;0;0;0;0;0;0;1;0;1
2003 38 2;93;064033820916;1;0;0;0;0;0;0;1;0;1
2003 38 2;94;064033830796;1;0;0;0;0;0;0;1;0;1
2003 38 2;95;064033810758;1;0;1;0;0;1;0;0;0;1
2003 38 2;96;064033820984;1;0;0;0;0;0;0;1;0;1
2003 38 2;97;064033820969;1;0;0;0;0;0;0;1;0;1
2003 38 2;98;064033821003;1;0;0;0;0;0;0;1;0;1
2003 38 2;99;064033750927;1;0;0;0;0;0;0;1;0;0
2003 38 2;100;064033830792;1;0;0;0;0;1;0;0;0;1
2003 38 2;101;064033840913;1;1;0;0;0;0;0;1;0;1
2003 38 2;102;064033820968;1;0;0;0;0;0;0;1;0;1
2003 38 2;103;064033730560;1;0;0;0;0;0;0;1;0;0
2003 38 2;104;064033820897;1;0;0;0;0;0;0;1;0;1
2003 38 2;105;064033850865;1;0;0;0;0;0;0;1;0;1
2003 38 2;106;064033811035;5;0;1;0;0;1;0;0;1;0
2003 38 2;107;064033820955;5;0;0;0;0;0;0;1;0;1
2003 38 2;108;064033741127;5;0;1;0;0;0;0;1;0;0
2003 38 2;109;064033910773;5;0;0;0;0;1;0;0;0;1
2003 38 2;110;064033741125;5;1;1;0;0;0;0;1;0;0
2003 38 2;111;064033810807;5;0;0;0;0;1;0;0;0;0
2003 38 2;112;064033811034;5;0;1;0;0;1;0;0;1;0
2003 38 2;113;064033740768;5;0;0;0;0;0;0;1;0;0
2003 38 2;114;064033840781;5;0;1;0;0;1;0;0;0;1
2003 38 2;115;064033820508;5;0;0;0;0;1;0;0;0;1
2003 38 2;116;064033740886;5;0;1;0;0;0;0;1;0;0
2003 38 2;117;064033830782;5;0;0;0;0;0;0;1;0;1
2003 38 2;118;064033850599;5;0;0;0;0;1;0;0;0;1
2003 38 2;119;064033750798;5;1;0;0;0;0;0;1;0;0
2003 38 2;120;064033810632;5;0;1;0;0;1;0;0;1;0
2003 38 2;121;064033820866;7;0;0;0;0;0;0;1;0;1
2003 38 2;122;064033810753;7;0;1;0;0;0;0;1;0;1
2003 38 2;123;064033830788;7;0;0;0;0;0;0;1;0;1
2003 38 2;124;064033830802;7;0;0;0;0;0;0;1;0;1
2003 38 2;125;064033830784;7;0;0;0;0;0;0;1;0;1
2003 38 2;126;064033820859;7;0;0;0;0;0;0;1;0;1
2003 38 2;127;064033830797;7;0;0;0;0;0;0;1;0;1
2003 38 2;128;064033820869;7;0;0;0;0;0;0;1;0;1
2003 38 2;129;064033820912;7;0;0;0;0;0;0;1;0;1
2003 38 2;130;064033820870;7;0;0;0;0;0;0;1;0;1
2003 38 2;131;064033820879;7;0;0;0;0;0;0;1;0;1
2003 38 2;132;064033810755;7;0;1;0;0;0;0;1;0;1
2003 38 2;133;064033830786;7;0;0;0;0;0;0;1;0;1
2003 38 2;134;064033820891;7;0;0;0;0;0;0;1;0;1
2003 38 2;135;064033830777;7;0;0;0;0;0;0;1;0;1
2003 38 2;136;064033840897;6;0;0;0;0;1;0;0;0;1
2003 38 2;137;064033840864;6;0;0;0;0;1;0;0;0;1
2003 38 2;138;064033820785;6;0;0;0;0;0;0;1;0;1
2003 38 2;139;064033840901;6;0;0;0;0;1;0;0;0;1
2003 38 2;140;064033840893;6;0;0;0;0;1;0;0;0;1
2003 38 2;141;064033920678;6;0;1;0;0;0;0;1;0;1
2003 38 2;142;064033840865;6;0;0;0;0;1;0;0;0;1
2003 38 2;143;064033840895;6;0;0;0;0;1;0;0;0;1
2003 38 2;144;064033820750;6;0;0;0;0;0;0;1;0;1
2003 38 2;145;064033840860;6;0;0;0;0;1;0;0;0;1
2003 38 2;146;064033840873;6;0;0;0;0;1;0;0;0;1
2003 38 2;147;064033840891;6;0;0;0;0;1;0;0;0;1
2003 38 2;148;064033820688;6;0;0;0;0;0;0;1;0;1
2003 38 2;149;064033840855;6;0;0;0;0;1;0;0;0;1
2003 38 2;150;064033840885;6;0;0;0;0;1;0;0;0;1
2003 38 2;151;064033820956;1;0;0;0;0;0;0;1;0;1
2003 38 2;152;064033820957;1;0;0;0;0;0;0;1;0;1
2003 38 2;153;064033820942;1;0;0;0;0;0;0;1;0;1
2003 38 2;154;064033830806;1;0;0;0;0;0;0;1;0;1
2003 38 2;155;064033811023;1;0;1;0;0;1;0;0;1;0
2003 38 2;156;064033820930;1;0;0;0;0;0;0;1;0;1
2003 38 2;157;064033820915;1;0;0;0;0;0;0;1;0;1
2003 38 2;158;064033751003;1;0;0;0;0;0;0;1;0;0
2003 38 2;159;064033830779;1;0;0;0;0;1;0;0;0;1
2003 38 2;160;064033830793;1;0;0;0;0;0;0;1;0;1
2003 38 2;161;064033830809;1;0;0;0;0;0;0;1;0;1
2003 38 2;162;064033750783;1;1;0;1;0;0;0;1;0;0
2003 38 2;163;064033820945;1;0;0;0;0;0;0;1;0;1
2003 38 2;164;064033820894;1;0;0;0;0;0;0;1;0;1
2003 38 2;165;064033820872;1;0;0;0;0;0;0;1;0;1
2003 38 2;166;064033810639;5;0;1;0;0;1;0;0;1;0
2003 38 2;167;064033820986;5;0;0;0;0;0;0;1;0;1
2003 38 2;168;064033750708;5;0;1;0;0;1;0;0;0;0
2003 38 2;169;064033820902;5;0;0;0;0;0;0;1;0;1
2003 38 2;170;064033810528;5;1;0;0;0;1;0;0;0;0
2003 38 2;171;064033840783;5;0;1;0;0;1;0;0;0;1
2003 38 2;172;064033820871;5;0;0;0;0;0;0;1;0;1
2003 38 2;173;064033810503;5;0;0;0;0;1;0;0;0;0
2003 38 2;174;064033821004;5;0;0;0;0;0;0;1;0;1
2003 38 2;175;064033810624;5;0;1;0;0;1;0;0;1;0
2003 38 2;176;064033850420;5;0;0;0;0;1;0;0;0;1
2003 38 2;177;064033750931;5;0;0;0;0;0;0;1;0;0
2003 38 2;178;064033840786;5;0;1;0;0;1;0;0;0;1
2003 38 2;179;064033830768;5;1;0;0;0;0;0;1;0;1
2003 38 2;180;064033810862;5;0;1;0;0;1;0;0;0;0
2003 38 2;181;064033420018;8;0;0;0;0;1;1;0;0;0
2003 38 2;182;064033741173;8;0;1;0;1;0;0;1;0;0
2003 38 2;183;064034230024;8;0;0;0;0;1;0;0;0;0
2003 38 2;184;064033907064;8;0;1;0;0;0;0;1;0;0
2003 38 2;185;064033420017;8;0;0;0;0;1;1;0;0;0
2003 38 2;186;064033811013;8;0;1;0;0;1;0;0;1;0
2003 38 2;187;064033830738;8;0;0;0;0;0;0;1;0;1
2003 38 2;188;064033741156;8;0;1;0;0;0;0;1;0;0
2003 38 2;189;064033741154;8;0;1;0;0;0;0;1;0;0
2003 38 2;190;064033810542;8;0;0;1;0;1;0;0;0;0
2003 38 2;191;064033741139;8;0;1;0;1;0;0;1;0;0
2003 38 2;192;064034130048;8;0;0;0;0;0;0;1;0;0
2003 38 2;193;064033810969;8;0;1;0;0;1;0;0;1;0
2003 38 2;194;064033420020;8;0;0;0;0;1;1;0;0;0
2003 38 2;195;064033741140;8;0;1;0;1;0;0;1;0;0
2003 38 2;196;064033820917;1;0;0;0;0;0;0;1;0;1
2003 38 2;197;064033820914;1;0;0;0;0;0;0;1;0;1
2003 38 2;198;064033820904;1;0;0;0;0;0;0;1;0;1
2003 38 2;199;064033820909;1;0;0;0;0;0;0;1;0;1
2003 38 2;200;064033810686;1;0;0;0;0;1;0;0;0;0
2003 38 2;201;064033820882;1;0;0;0;0;0;0;1;0;1
2003 38 2;202;064033820896;1;0;0;0;0;0;0;1;0;1
2003 38 2;203;064033751080;1;0;0;0;0;0;0;1;0;0
2003 38 2;204;064033820877;1;0;0;0;0;0;0;1;0;1
2003 38 2;205;064033820908;1;0;0;0;0;0;0;1;0;1
2003 38 2;206;064033811025;1;0;1;0;0;1;0;0;1;0
2003 38 2;207;064033820898;1;0;0;0;0;0;0;1;0;1
2003 38 2;208;064033820875;1;0;0;0;0;0;0;1;0;1
2003 38 2;209;064033751075;1;0;0;0;0;0;0;1;0;0
2003 38 2;210;064033820911;1;0;0;0;0;0;0;1;0;1
2003 38 2;211;064033840867;6;0;0;0;0;1;0;0;0;1
2003 38 2;212;064033840856;6;0;0;0;0;1;0;0;0;1
2003 38 2;213;064033840876;6;0;0;0;0;1;0;0;0;1
2003 38 2;214;064033820504;6;0;0;0;0;0;0;1;0;1
2003 38 2;215;064033840866;6;0;0;0;0;1;0;0;0;1
2003 38 2;216;064033840857;6;0;0;0;0;1;0;0;0;1
2003 38 2;217;064033920686;6;1;1;0;0;0;0;1;0;1
2003 38 2;218;064033840898;6;0;0;0;0;1;0;0;0;1
2003 38 2;219;064033840887;6;0;0;0;0;1;0;0;0;1
2003 38 2;220;064033830750;6;0;0;0;0;0;0;1;0;1
2003 38 2;221;064033840879;6;0;0;0;0;1;0;0;0;1
2003 38 2;222;064033840858;6;0;0;0;0;1;0;0;0;1
2003 38 2;223;064033830613;6;0;0;0;0;0;0;1;0;1
2003 38 2;224;064033840896;6;0;0;0;0;1;0;0;0;1
2003 38 2;225;064033840871;6;0;0;0;0;1;0;0;0;1
2003 38 2;226;064033750795;5;1;0;0;0;0;0;1;0;0
2003 38 2;227;064033810638;5;0;1;0;0;1;0;0;1;0
2003 38 2;228;064033850572;5;0;0;0;0;1;0;0;0;1
2003 38 2;229;064033750627;5;0;1;0;0;0;0;1;0;1
2003 38 2;230;064033810659;5;0;0;1;0;1;0;0;0;0
2003 38 2;231;064033850732;5;0;1;0;0;1;0;0;0;1
2003 38 2;232;064033750926;5;0;0;0;0;0;0;1;0;0
2003 38 2;233;064033850743;5;0;1;0;0;1;0;0;0;1
2003 38 2;234;064033810427;5;0;0;0;0;0;0;1;0;0
2003 38 2;235;064033850730;5;0;1;0;0;1;0;0;0;1
2003 38 2;236;064033810772;5;0;0;0;0;0;0;1;0;1
2003 38 2;237;064033810526;5;1;0;0;0;1;0;0;0;0
2003 38 2;238;064033750782;5;0;0;0;0;0;0;1;0;1
2003 38 2;239;064033820659;5;0;0;0;0;0;0;1;0;1
2003 38 2;240;064033810625;5;0;1;0;0;1;0;0;1;0
2003 38 2;241;064033820881;1;0;0;0;0;0;0;1;0;1
2003 38 2;242;064033821006;1;0;0;0;0;0;0;1;0;1
2003 38 2;243;064033750935;1;0;0;0;0;0;0;1;0;0
2003 38 2;244;064033820905;1;0;0;0;0;0;0;1;0;1
2003 38 2;245;064033830778;1;0;0;0;0;0;0;1;0;1
2003 38 2;246;064033750874;1;0;0;0;0;0;0;1;0;0
2003 38 2;247;064033830803;1;0;0;0;0;1;0;0;0;1
2003 38 2;248;064033820865;1;0;0;0;0;0;0;1;0;1
2003 38 2;249;064033750946;1;0;0;0;0;0;0;1;0;0
2003 38 2;250;064033811045;1;0;1;0;0;0;0;1;0;1
2003 38 2;251;064033850826;1;1;0;0;0;0;0;1;0;1
2003 38 2;252;064033830801;1;0;0;0;0;1;0;0;0;1
2003 38 2;253;064033811011;1;0;1;0;0;0;0;1;0;1
2003 38 2;254;064033820895;1;0;0;0;0;0;0;1;0;1
2003 38 2;255;064033750954;1;0;0;0;0;0;0;1;0;0
2003 38 2;256;064033830791;7;0;0;0;0;0;0;1;0;1
2003 38 2;257;064033820860;7;0;0;0;0;0;0;1;0;1
2003 38 2;258;064033830771;7;0;0;0;0;0;0;1;0;1
2003 38 2;259;064033820846;7;0;0;0;0;0;0;1;0;1
2003 38 2;260;064033820854;7;0;0;0;0;0;0;1;0;1
2003 38 2;261;064033820673;7;0;0;0;0;0;0;1;0;1
2003 38 2;262;064033820677;7;0;0;0;0;0;0;1;0;1
2003 38 2;263;064033820666;7;0;0;0;0;0;0;1;0;1
2003 38 2;264;064033820657;7;0;0;0;0;0;0;1;0;1
2003 38 2;265;064033820651;7;0;0;0;0;0;0;1;0;1
2003 38 2;266;064033820587;7;0;1;0;0;1;0;0;0;1
2003 38 2;267;064033820662;7;0;0;0;0;0;0;1;0;1
2003 38 2;268;064033820648;7;0;0;0;0;0;0;1;0;1
2003 38 2;269;064033820650;7;0;0;0;0;0;0;1;0;1
2003 38 2;270;064033820653;7;0;0;0;0;0;0;1;0;1
2003 38 2;271;064033810642;5;0;1;0;0;1;0;0;1;0
2003 38 2;272;064033810819;5;0;0;0;0;1;0;0;0;0
2003 38 2;273;064033820676;5;0;0;0;0;0;0;1;0;1
2003 38 2;274;064033850760;5;0;1;0;0;1;0;0;0;1
2003 38 2;275;064033810715;5;0;0;0;0;1;0;0;0;0
2003 38 2;276;064033740640;5;1;1;0;0;0;0;1;0;1
2003 38 2;277;064033811246;5;0;0;1;0;1;0;0;0;0
2003 38 2;278;064033850750;5;0;1;0;0;1;0;0;0;1
2003 38 2;279;064033820649;5;0;0;0;0;0;0;1;0;1
2003 38 2;280;064033810643;5;0;1;0;0;1;0;0;1;0
2003 38 2;281;064033811249;5;0;0;0;0;1;0;0;0;0
2003 38 2;282;064033820548;5;0;0;0;0;0;0;1;0;1
2003 38 2;283;064033811232;5;0;0;0;0;1;0;0;0;0
2003 38 2;284;064033810626;5;0;1;0;0;1;0;0;1;0
2003 38 2;285;064033750998;5;0;0;0;0;0;0;1;0;0
2003 38 2;286;064033840881;6;0;0;0;0;1;0;0;0;1
2003 38 2;287;064033840900;6;0;0;0;0;1;0;0;0;1
2003 38 2;288;064033840798;6;0;0;0;0;0;0;1;0;1
2003 38 2;289;064033840882;6;0;0;0;0;1;0;0;0;1
2003 38 2;290;064033850588;6;0;0;0;0;1;0;0;0;1
2003 38 2;291;064033840687;6;0;0;0;0;0;0;1;0;1
2003 38 2;292;064033850584;6;0;0;0;0;1;0;0;0;1
2003 38 2;293;064033850489;6;0;0;0;0;1;0;0;0;1
2003 38 2;294;064033850415;6;0;0;0;0;1;0;0;0;1
2003 38 2;295;064033840690;6;0;0;0;0;0;0;1;0;1
2003 38 2;296;064033850586;6;0;0;0;0;1;0;0;0;1
2003 38 2;297;064033850607;6;0;0;0;0;1;0;0;0;1
2003 38 2;298;064033840684;6;0;0;0;0;0;0;1;0;1
2003 38 2;299;064033850829;6;0;0;0;0;1;0;0;0;1
2003 38 2;300;064033850605;6;0;0;0;0;1;0;0;0;1
2003 38 2;301;064033740649;1;1;1;0;0;0;0;1;0;0
2003 38 2;302;064033830787;1;0;0;0;0;0;0;1;0;1
2003 38 2;303;064033820949;1;0;0;0;0;0;0;1;0;1
2003 38 2;304;064033750908;1;0;0;0;0;0;0;1;0;0
2003 38 2;305;064033810907;1;0;0;0;0;1;0;0;0;1
2003 38 2;306;064033811000;1;0;1;0;0;0;0;1;0;1
2003 38 2;307;064033750785;1;0;0;0;0;0;0;1;0;0
2003 38 2;308;064033820849;1;0;0;0;0;0;0;1;0;1
2003 38 2;309;064033820843;1;0;0;0;0;0;0;1;0;1
2003 38 2;310;064033810711;1;1;0;1;0;1;0;0;0;0
2003 38 2;311;064033820850;1;0;0;0;0;0;0;1;0;1
2003 38 2;312;064033820853;1;0;0;0;0;0;0;1;0;1
2003 38 2;313;064033750923;1;0;0;0;0;0;0;1;0;0
2003 38 2;314;064033820852;1;0;0;0;0;0;0;1;0;1
2003 38 2;315;064033820851;1;0;0;0;0;0;0;1;0;1
2003 38 2;316;064033810918;9;0;1;0;0;1;0;0;1;0
2003 38 2;317;064033820966;9;0;0;0;0;0;0;1;0;1
2003 38 2;318;064033830654;9;0;0;0;0;1;0;0;0;1
2003 38 2;319;064033740783;9;0;0;0;0;0;0;1;0;0
2003 38 2;320;064033811029;9;0;1;0;0;0;0;1;0;1
2003 38 2;321;064033811077;9;0;0;0;0;0;0;1;0;0
2003 38 2;322;064033810814;9;0;1;0;0;1;0;0;0;0
2003 38 2;323;064033840050;9;0;0;1;0;0;0;1;0;1
2003 38 2;324;064033850579;9;0;0;0;0;1;0;0;0;1
2003 38 2;325;064033830746;9;0;0;0;0;0;0;1;0;0
2003 38 2;326;064033830808;9;0;0;0;0;0;0;1;0;1
2003 38 2;327;064033811033;9;1;1;0;0;0;0;1;0;1
2003 38 2;328;064033830748;9;0;0;0;0;0;0;1;0;0
2003 38 2;329;064033810919;9;0;1;0;0;1;0;0;1;0
2003 38 2;330;064033830807;9;0;0;0;0;0;0;1;0;1
2003 38 2;331;064033420011;8;0;0;0;0;1;1;0;0;0
2003 38 2;332;064033741141;8;0;1;0;1;0;0;1;0;0
2003 38 2;333;064033810912;8;0;0;0;0;1;0;0;0;0
2003 38 2;334;064033741159;8;0;1;0;0;0;0;1;0;0
2003 38 2;335;064033810537;8;0;0;1;0;1;0;0;0;0
2003 38 2;336;064033741155;8;0;1;0;0;0;0;1;0;0
2003 38 2;337;064033810279;8;0;0;0;0;1;0;0;0;0
2003 38 2;338;064033810957;8;0;1;0;0;1;0;0;1;0
2003 38 2;339;064034130049;8;0;0;0;0;0;0;1;0;0
2003 38 2;340;064033420025;8;0;0;0;0;1;1;0;0;0
2003 38 2;341;064034130047;8;0;0;0;0;0;0;1;0;0
2003 38 2;342;064033741151;8;0;1;0;0;0;0;1;0;0
2003 38 2;343;064033810541;8;0;0;1;0;1;0;0;0;0
2003 38 2;344;064033741146;8;0;1;0;1;0;0;1;0;0
2003 38 2;345;064033420023;8;0;0;0;0;1;1;0;0;0
2003 38 2;346;064033750794;5;1;0;0;0;0;0;1;0;0
2003 38 2;347;064033810858;5;0;1;0;0;1;0;0;0;0
2003 38 2;348;064033830751;5;0;0;0;0;0;0;1;0;1
2003 38 2;349;064033810628;5;0;1;0;0;1;0;0;1;0
2003 38 2;350;064033830700;5;0;0;0;0;0;0;1;0;1
2003 38 2;351;064033850765;5;0;1;0;0;1;0;0;0;1
2003 38 2;352;064033750050;5;0;0;1;0;1;0;0;0;0
2003 38 2;353;064033740740;5;0;1;0;0;0;0;1;0;0
2003 38 2;354;064033810974;5;0;0;0;0;1;0;0;0;0
2003 38 2;355;064033850764;5;0;1;0;0;1;0;0;0;1
2003 38 2;356;064033830658;5;0;0;0;0;0;0;1;0;1
2003 38 2;357;064033810630;5;0;1;0;0;1;0;0;1;0
2003 38 2;358;064033750797;5;1;0;0;0;0;0;1;0;0
2003 38 2;359;064033850768;5;0;1;0;0;1;0;0;0;1
2003 38 2;360;064033750848;5;0;0;0;0;0;0;1;0;0
2003 38 2;361;064033850600;6;0;0;0;0;1;0;0;0;1
2003 38 2;362;064033850647;6;0;0;0;0;1;0;0;0;1
2003 38 2;363;064033840569;6;0;0;0;0;0;0;1;0;1
2003 38 2;364;064033910756;6;0;0;0;0;1;0;0;0;1
2003 38 2;365;064033910744;6;0;0;0;0;1;0;0;0;1
2003 38 2;366;064033840059;6;0;0;0;0;0;0;1;0;1
2003 38 2;367;064033910734;6;0;0;0;0;1;0;0;0;1
2003 38 2;368;064033910714;6;0;0;0;0;1;0;0;0;1
2003 38 2;369;064033840058;6;0;0;0;0;0;0;1;0;1
2003 38 2;370;064033910738;6;0;0;0;0;1;0;0;0;1
2003 38 2;371;064033910733;6;0;0;0;0;1;0;0;0;1
2003 38 2;372;064033850834;6;0;0;0;0;0;0;1;0;1
2003 38 2;373;064033810767;6;0;0;0;0;1;0;0;0;0
2003 38 2;374;064033910708;6;0;0;0;0;1;0;0;0;1
2003 38 2;375;064033910757;6;0;0;0;0;1;0;0;0;1
2003 38 2;376;064033820848;1;0;0;0;0;0;0;1;0;1
2003 38 2;377;064033750791;1;1;0;0;0;0;0;1;0;0
2003 38 2;378;064033810937;1;0;1;0;0;0;0;1;0;1
