Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5
2003 38 4;44;039033840867;7;1;0;0;0;1
2003 38 4;45;039033740415;7;0;1;0;0;0
2003 38 4;46;039033740972;7;0;0;0;0;0
2003 38 4;47;039033650616;13;0;0;0;0;0
2003 38 4;48;039033730094;13;1;0;0;1;1
2003 38 4;49;039033740168;13;0;0;0;0;0
2003 38 4;50;039033740115;13;0;0;0;0;0
2003 38 4;51;039033720032;10;1;0;0;0;0
2003 38 4;52;039033940039;10;0;0;0;0;1
2003 38 4;53;039033730452;13;0;0;0;0;0
2003 38 4;54;039033741263;13;1;0;0;0;0
2003 38 4;55;039033730555;13;0;0;0;0;0
2003 38 4;56;039033650395;13;0;0;0;0;0
2003 38 4;57;039033730442;10;1;0;0;0;1
2003 38 4;58;039033940048;10;0;0;0;0;0
2003 38 4;59;039033640432;10;0;0;0;0;0
2003 38 4;60;039033831054;10;1;0;1;0;0
2003 38 4;61;039033651451;10;0;0;0;0;1
2003 38 4;62;039033741228;10;0;0;0;0;0
2003 38 4;63;039033730571;10;1;0;0;0;0
2003 38 4;64;039033740052;10;0;0;0;1;0
2003 38 4;65;039033730329;2;0;0;0;0;1
2003 38 4;66;039033750105;2;1;0;0;0;0
2003 38 4;67;039033720362;2;0;0;0;0;0
2003 38 4;68;039033740918;2;0;0;0;0;0
2003 38 4;69;039033840754;1;1;0;0;0;1
2003 38 4;70;039033831657;1;0;0;0;0;0
2003 38 4;71;039033740165;1;0;0;0;0;0
2003 38 4;72;039033740097;13;1;1;0;0;0
2003 38 4;73;039033940036;8;0;0;0;0;0
2003 38 4;74;039033730043;8;0;0;0;0;1
2003 38 4;75;039033940035;8;0;0;0;0;0
2003 38 4;76;039033730696;9;1;0;0;0;0
2003 38 4;77;039033740875;9;0;0;0;0;0
2003 38 4;78;039033810159;9;0;0;0;0;1
2003 38 4;79;039033740383;9;1;0;0;0;0
2003 38 4;80;039033740893;9;0;0;0;0;0
2003 38 4;81;039033720652;9;0;0;0;1;0
2003 38 4;82;039033831040;9;1;0;0;0;1
2003 38 4;83;039033740183;8;0;0;0;0;0
2003 38 4;84;039033650201;8;0;0;0;0;0
2003 38 4;85;039033740896;8;0;0;0;0;0
2003 38 4;86;039033840922;11;1;0;0;0;1
2003 38 4;87;039033740218;1;0;0;0;0;0
2003 38 4;88;039033740928;1;0;0;0;0;0
2003 38 4;89;039033831161;1;0;0;0;0;0
2003 38 4;90;039033740873;10;1;0;1;0;1
2003 38 4;91;039033810099;10;0;0;0;0;0
2003 38 4;92;039033740866;10;0;0;0;0;0
2003 38 4;93;039033810160;10;0;0;0;0;0
2003 38 4;94;039033730478;10;1;0;0;0;1
2003 38 4;95;039033740915;2;0;0;0;0;0
2003 38 4;96;039033831201;2;0;0;0;0;0
2003 38 4;97;039033741147;2;0;0;0;0;0
2003 38 4;98;039033320216;5;0;0;0;1;1
2003 38 4;99;039033840322;5;0;1;0;0;0
2003 38 4;100;039033650220;5;1;0;0;0;0
2003 38 4;101;039033740912;13;0;0;0;0;0
2003 38 4;102;039033740909;13;0;0;0;0;0
2003 38 4;103;039033840928;11;1;0;0;0;1
2003 38 4;104;039033831233;9;0;0;0;0;0
2003 38 4;105;039033650709;9;0;0;0;0;0
2003 38 4;106;039033730388;9;1;0;0;0;0
2003 38 4;107;039033740865;9;0;0;0;0;0
2003 38 4;108;039033740891;9;0;0;0;0;0
2003 38 4;109;039033831002;9;1;0;0;0;1
2003 38 4;110;039033740852;9;0;0;0;0;0
2003 38 4;111;039033831335;9;0;0;0;0;0
2003 38 4;112;039033831123;9;0;0;0;0;0
2003 38 4;113;039033840700;9;1;0;0;0;1
2003 38 4;114;039033740911;13;0;0;0;0;0
2003 38 4;115;039033740908;13;0;0;0;0;0
2003 38 4;116;039033740081;13;1;0;0;1;0
2003 38 4;117;039033831227;13;0;0;0;0;0
2003 38 4;118;039033810153;13;0;0;0;0;0
2003 38 4;119;039033840733;9;1;0;0;0;1
2003 38 4;120;039033730716;9;0;0;0;0;0
2003 38 4;121;039033730840;13;0;0;0;0;0
2003 38 4;122;039033730392;13;1;0;0;0;0
2003 38 4;123;039033810051;13;0;0;0;0;1
2003 38 4;124;039033741215;13;0;0;0;0;0
2003 38 4;125;039033730816;13;0;0;0;0;0
2003 38 4;126;039033831200;1;0;0;0;0;0
2003 38 4;127;039033740974;1;1;0;0;0;0
2003 38 4;128;039033741191;7;0;1;1;0;1
2003 38 4;129;039033740903;8;0;0;0;0;0
2003 38 4;130;039033651371;8;1;0;0;0;0
2003 38 4;131;039033740901;8;0;0;0;0;0
2003 38 4;132;039033740899;8;0;0;0;0;0
2003 38 4;133;039033730479;10;1;0;0;0;1
2003 38 4;134;039033740054;10;0;0;0;1;0
2003 38 4;135;039033810157;10;0;0;0;0;0
2003 38 4;136;039033831448;10;1;0;0;0;0
2003 38 4;137;039033740864;10;0;0;0;0;1
2003 38 4;138;039033831212;4;0;0;0;0;0
2003 38 4;139;039033741034;6;1;0;0;0;0
2003 38 4;140;039033831643;6;0;0;0;0;0
2003 38 4;141;039033730692;6;0;0;0;0;1
2003 38 4;142;039033130296;6;1;0;0;0;0
2003 38 4;143;039033831322;8;0;0;0;0;0
2003 38 4;144;039033831256;8;0;0;0;0;0
2003 38 4;145;039033831128;10;1;0;0;0;1
2003 38 4;146;039033740904;8;0;0;0;0;0
2003 38 4;147;039033831537;8;0;0;0;0;0
2003 38 4;148;039033740565;8;1;0;0;0;0
2003 38 4;149;039033810080;8;0;0;0;0;1
2003 38 4;150;039033831336;8;0;0;0;0;0
2003 38 4;151;039033740553;10;1;0;0;0;0
2003 38 4;152;039033741084;10;0;0;0;1;0
2003 38 4;153;039033831452;10;0;0;0;0;1
2003 38 4;154;039033730400;3;1;0;0;0;0
2003 38 4;155;039033805393;3;0;0;0;0;0
2003 38 4;156;039033710251;3;0;1;1;0;0
2003 38 4;157;039033840863;7;1;0;0;0;1
2003 38 4;158;039033730800;7;0;0;0;0;0
2003 38 4;159;039033831644;7;0;0;0;0;0
2003 38 4;160;039033730742;7;0;0;0;0;1
2003 38 4;161;039033740172;7;1;0;0;0;0
2003 38 4;162;039033741126;7;0;0;0;0;0
2003 38 4;163;039033741222;7;0;0;0;0;0
2003 38 4;164;039033840827;7;1;0;0;0;1
2003 38 4;165;039033831501;7;0;0;0;0;0
2003 38 4;166;039033740937;5;0;0;0;0;0
2003 38 4;167;039033831562;5;0;0;0;0;0
2003 38 4;168;039033730699;5;0;0;0;0;1
2003 38 4;169;039033740113;5;1;0;0;1;0
2003 38 4;170;039033831159;5;0;0;0;0;0
2003 38 4;171;039033831230;5;0;0;0;0;0
2003 38 4;172;039033840795;5;1;0;0;0;1
2003 38 4;173;039033831049;5;0;0;0;0;0
2003 38 4;174;039033831315;5;0;0;0;0;0
2003 38 4;175;039033831220;5;0;0;0;0;0
2003 38 4;176;039033840817;5;1;0;0;0;1
2003 38 4;177;039033831214;5;0;0;0;0;0
2003 38 4;178;039033831036;5;0;0;0;0;0
2003 38 4;179;039033741180;10;0;0;0;0;0
2003 38 4;180;039033831060;10;1;0;0;0;1
2003 38 4;181;039033831311;9;0;0;0;0;0
2003 38 4;182;039033741178;9;0;0;0;0;0
2003 38 4;183;039033840722;9;1;0;0;0;1
2003 38 4;184;039033751285;9;0;0;1;0;0
2003 38 4;185;039033831027;8;0;0;0;0;0
2003 38 4;186;039033740103;8;1;1;0;0;0
2003 38 4;187;039033640492;8;0;0;0;0;1
2003 38 4;188;039033831240;8;0;0;0;0;0
2003 38 4;189;039033741595;6;1;0;0;1;0
2003 38 4;190;039033831000;6;0;0;0;0;0
2003 38 4;191;039033741224;9;0;0;0;0;0
2003 38 4;192;039033840732;9;1;0;0;0;1
2003 38 4;193;039033730545;9;0;0;0;0;0
2003 38 4;194;039033741255;9;0;0;0;0;0
2003 38 4;195;039033730389;9;1;0;0;0;0
2003 38 4;196;039033831660;14;0;0;0;0;1
2003 38 4;197;039033741216;9;0;0;0;0;0
2003 38 4;198;039033831068;9;0;0;0;0;0
2003 38 4;199;039033831160;9;0;0;0;0;0
2003 38 4;200;039033840681;9;1;0;0;0;1
2003 38 4;201;039034111317;9;0;0;0;0;0
2003 38 4;202;039033820016;9;0;0;0;0;0
2003 38 4;203;039033840691;9;1;0;0;0;1
2003 38 4;204;039033741125;9;0;0;0;0;0
2003 38 4;205;039033741195;9;0;0;0;0;0
2003 38 4;206;039033741221;9;0;0;0;0;0
2003 38 4;207;039033730387;9;1;0;0;0;0
2003 38 4;208;039033741271;10;0;0;0;1;0
2003 38 4;209;039033740058;10;0;0;0;0;1
2003 38 4;210;039033730473;10;1;0;0;0;0
2003 38 4;211;039033831125;10;0;0;0;0;0
2003 38 4;212;039033741473;10;0;0;1;0;0
2003 38 4;213;039033840888;10;1;0;0;0;1
2003 38 4;214;039033831209;9;0;1;0;0;0
2003 38 4;215;039033831334;9;0;0;0;0;0
2003 38 4;216;039033740886;9;0;0;0;0;0
2003 38 4;217;039033840745;9;1;0;0;0;1
2003 38 4;218;039033831241;9;0;0;0;0;0
2003 38 4;219;039033831136;9;0;0;0;0;0
2003 38 4;220;039033740233;9;1;0;0;0;0
2003 38 4;221;039033740872;9;0;0;0;0;1
2003 38 4;222;039033831461;9;0;0;0;0;0
2003 38 4;223;039033831221;9;0;0;0;0;0
2003 38 4;224;039033740173;1;1;0;0;0;0
2003 38 4;225;039033810169;1;0;0;0;0;1
2003 38 4;226;039033831234;1;0;0;0;0;0
2003 38 4;227;039033730139;6;1;0;0;0;0
2003 38 4;228;039033740924;6;0;0;0;0;0
2003 38 4;229;039033740921;6;0;0;0;0;0
2003 38 4;230;039033030559;9;0;0;0;1;1
2003 38 4;231;039033740248;7;1;0;0;0;0
2003 38 4;232;039033831453;7;0;0;0;0;0
2003 38 4;233;039033831141;7;0;0;0;0;0
2003 38 4;234;039033840828;7;1;0;0;0;1
2003 38 4;235;039033831333;7;0;0;0;0;0
2003 38 4;236;039033831262;9;0;0;0;0;0
2003 38 4;237;039033831106;9;0;0;0;0;0
2003 38 4;238;039033840706;9;1;0;0;0;1
2003 38 4;239;039033831254;9;0;0;0;0;0
2003 38 4;240;039033831129;9;0;0;0;0;0
2003 38 4;241;039033830116;9;1;1;1;0;0
2003 38 4;242;039033831130;9;0;0;0;0;0
2003 38 4;243;039033740945;9;0;0;0;0;1
2003 38 4;244;039033740420;9;1;0;0;0;0
2003 38 4;245;039033831225;9;0;0;0;0;0
2003 38 4;246;039033831235;9;0;0;0;0;0
2003 38 4;247;039033841043;9;1;0;0;0;1
2003 38 4;248;039033740923;6;0;0;0;0;0
2003 38 4;249;039033831080;6;0;0;0;0;0
2003 38 4;250;039033740562;6;1;0;0;0;0
2003 38 4;251;039033730021;6;0;0;0;1;1
2003 38 4;252;039033831547;6;0;0;0;0;0
2003 38 4;253;039033831153;10;0;0;0;0;0
2003 38 4;254;039033740559;9;1;0;0;0;0
2003 38 4;255;039033831328;9;0;0;0;0;0
2003 38 4;256;039033831341;9;0;0;0;0;0
2003 38 4;257;039033740713;9;0;0;0;0;0
2003 38 4;258;039033840703;9;1;0;0;0;1
2003 38 4;259;039033831088;9;0;0;0;0;0
2003 38 4;260;039033831314;9;0;0;0;0;0
2003 38 4;261;039033840690;9;1;0;0;0;1
2003 38 4;262;039033831263;9;0;0;0;0;0
2003 38 4;263;039033831319;9;0;0;0;0;0
2003 38 4;264;039033831255;9;0;0;0;0;0
2003 38 4;265;039033840860;7;1;0;0;0;1
2003 38 4;266;039033831382;7;0;0;0;0;0
2003 38 4;267;039033831140;7;0;0;0;0;0
2003 38 4;268;039033831134;7;0;0;0;0;0
2003 38 4;269;039033730265;7;1;1;1;0;1
2003 38 4;270;039033740016;7;0;0;0;1;0
2003 38 4;271;039033831245;7;0;0;0;0;0
2003 38 4;272;039033740137;6;1;0;0;0;0
2003 38 4;273;039033730687;1;0;0;0;0;1
2003 38 4;274;039033740927;1;0;0;0;0;0
2003 38 4;275;039033831581;11;0;0;0;0;0
2003 38 4;276;039033740584;11;1;0;0;0;0
2003 38 4;277;039033831166;11;0;0;0;0;0
2003 38 4;278;039033741511;11;0;0;0;0;1
2003 38 4;279;039033741099;11;1;0;0;0;0
2003 38 4;280;039033831156;10;0;0;0;0;0
2003 38 4;281;039033740930;10;0;0;0;0;0
2003 38 4;282;039033840881;10;1;0;0;0;1
2003 38 4;283;039033831259;10;0;0;0;0;0
2003 38 4;284;039033920196;3;0;0;0;0;0
2003 38 4;285;039033730404;3;1;0;0;0;0
2003 38 4;286;039033730750;3;0;0;0;0;1
2003 38 4;287;039033831070;13;0;0;0;0;0
2003 38 4;288;039033730393;13;1;0;0;0;0
2003 38 4;289;039033831081;13;0;0;0;1;1
2003 38 4;290;039033741027;13;0;0;0;0;0
2003 38 4;291;039033740801;6;1;0;0;0;0
2003 38 4;292;039033821003;6;0;0;0;0;0
2003 38 4;293;039033740837;6;0;0;0;0;1
2003 38 4;294;039033740346;6;1;0;0;0;0
2003 38 4;295;039033831133;6;0;0;0;0;0
2003 38 4;296;039033740836;6;0;0;0;0;0
2003 38 4;297;039033840949;6;1;0;0;0;1
2003 38 4;298;039033831179;6;0;0;0;0;0
2003 38 4;299;039033831176;6;0;0;0;0;0
2003 38 4;300;039033830394;6;1;0;0;0;0
2003 38 4;301;039033650059;6;0;0;0;0;1
2003 38 4;302;039033741590;13;0;0;0;0;0
2003 38 4;303;039033650040;13;1;1;1;0;0
2003 38 4;304;039033820005;13;0;0;0;0;0
2003 38 4;305;039033741132;13;0;0;0;0;0
2003 38 4;306;039033840891;10;1;0;0;0;1
2003 38 4;307;039033740034;13;0;0;0;1;0
2003 38 4;308;039033831151;13;0;0;0;0;0
2003 38 4;309;039033831022;13;0;0;0;0;0
2003 38 4;310;039033840904;10;1;0;0;0;1
2003 38 4;311;039033831154;10;0;0;0;0;0
2003 38 4;312;039033831132;10;0;0;0;0;0
2003 38 4;313;039033840910;10;1;0;0;0;1
2003 38 4;314;039033831575;1;0;0;0;0;0
2003 38 4;315;039033831331;1;0;0;0;0;0
2003 38 4;316;039033730289;1;1;0;0;0;0
2003 38 4;317;039033831339;1;0;0;0;0;0
2003 38 4;318;039033730317;1;0;0;0;0;1
2003 38 4;319;039033831079;1;1;0;0;0;0
2003 38 4;320;039033830986;1;0;0;0;0;0
2003 38 4;321;039033740187;1;0;0;0;0;1
2003 38 4;322;039033831077;6;1;0;0;0;0
2003 38 4;323;039033831323;6;0;0;0;0;0
2003 38 4;324;039033741480;6;0;0;0;1;0
2003 38 4;325;039033840855;7;1;0;0;0;1
2003 38 4;326;039033831236;7;0;0;0;0;0
2003 38 4;327;039033741114;7;0;0;0;0;0
2003 38 4;328;039033740698;7;0;0;0;0;0
2003 38 4;329;039033730347;7;1;0;0;0;0
2003 38 4;330;039033741409;7;0;1;0;0;1
2003 38 4;331;039033730175;5;0;0;1;0;0
2003 38 4;332;039033740006;5;1;0;0;0;0
2003 38 4;333;039033741087;13;0;0;0;0;0
2003 38 4;334;039033740956;13;0;0;0;0;1
2003 38 4;335;039033730391;13;1;0;0;0;0
2003 38 4;336;039033831383;13;0;0;0;0;0
2003 38 4;337;039033831038;13;0;0;0;0;0
2003 38 4;338;039033840930;11;1;0;0;0;1
2003 38 4;339;039033831239;5;0;0;0;0;0
2003 38 4;340;039033831238;5;0;0;0;0;0
2003 38 4;341;039033550637;5;1;0;0;0;0
2003 38 4;342;039033650004;5;0;0;0;1;0
2003 38 4;343;039033831004;5;0;0;0;0;0
2003 38 4;344;039033840903;10;1;0;0;0;1
2003 38 4;345;039033831021;1;0;0;0;0;0
2003 38 4;346;039033831197;10;0;0;0;0;0
2003 38 4;347;039033740175;10;1;0;0;0;0
2003 38 4;348;039033730567;10;0;0;0;0;1
2003 38 4;349;039033831237;10;0;0;0;0;0
2003 38 4;350;039033740232;9;1;0;0;0;0
2003 38 4;351;039033831231;9;0;0;0;0;0
2003 38 4;352;039033740125;9;0;0;0;0;1
2003 38 4;353;039033730632;9;1;0;0;0;0
2003 38 4;354;039033831219;9;0;0;0;0;0
2003 38 4;355;039033831390;4;0;0;0;0;0
2003 38 4;356;039033840811;5;1;0;0;0;1
2003 38 4;357;039033740375;5;0;0;0;0;0
2003 38 4;358;039033810146;5;0;1;1;0;0
2003 38 4;359;039033740036;5;0;0;0;1;0
2003 38 4;360;039033840906;10;1;0;0;0;1
2003 38 4;361;039033740949;8;0;0;0;0;0
2003 38 4;362;039033740792;8;0;0;0;0;0
2003 38 4;363;039033740554;8;1;0;0;0;0
2003 38 4;364;039033740762;8;0;0;0;0;0
2003 38 4;365;039033740951;8;0;0;0;0;1
2003 38 4;366;039033740102;9;1;0;0;0;0
2003 38 4;367;039033831242;9;0;0;0;0;0
2003 38 4;368;039033831039;9;0;0;0;0;0
2003 38 4;369;039033740944;9;0;0;0;0;0
2003 38 4;370;039033840707;9;1;0;0;0;1
2003 38 4;371;039033831122;9;0;0;0;0;0
2003 38 4;372;039033741361;9;0;0;0;0;0
2003 38 4;373;039033750108;11;1;0;0;0;0
2003 38 4;374;039033831450;11;0;0;0;0;0
2003 38 4;375;039033730620;11;0;0;0;0;0
2003 38 4;376;039033741445;11;0;0;0;1;1
2003 38 4;377;039033740101;13;1;0;0;0;0
2003 38 4;378;039033831089;13;0;0;0;0;0
2003 38 4;379;039033831143;13;0;0;0;0;0
2003 38 4;380;039033840952;6;1;0;0;0;1
2003 38 4;381;039033740621;6;0;0;0;0;0
2003 38 4;382;039033730325;6;0;0;0;0;0
2003 38 4;383;039033831107;6;1;0;0;0;0
2003 38 4;384;039033710776;4;0;0;0;0;1
2003 38 4;385;039033831226;9;0;1;0;0;0
2003 38 4;386;039033730498;9;1;0;0;0;0
2003 38 4;387;039033831149;9;0;0;0;0;0
2003 38 4;388;039033730747;9;0;0;0;0;1
2003 38 4;389;039033831025;9;0;0;0;0;0
2003 38 4;390;039033750099;9;1;0;1;0;0
2003 38 4;391;039033740399;9;0;0;0;0;0
2003 38 4;392;039033831138;9;0;0;0;0;1
2003 38 4;393;039033730499;9;1;0;0;0;0
2003 38 4;394;039033730080;9;0;0;0;1;0
2003 38 4;395;039033740580;9;0;0;0;0;0
2003 38 4;396;039033740805;9;0;0;0;0;0
2003 38 4;397;039033730535;9;0;0;0;0;0
2003 38 4;398;039033840708;9;1;0;0;0;1
2003 38 4;399;039033730713;9;0;0;0;0;0
2003 38 4;400;039033831062;9;0;0;0;0;0
2003 38 4;401;039033740760;9;0;0;0;0;0
2003 38 4;402;039033840896;10;1;0;0;0;1
2003 38 4;403;039033831337;10;0;0;0;0;0
2003 38 4;404;039033730839;10;0;0;0;0;0
2003 38 4;405;039033840915;10;1;0;0;0;1
2003 38 4;406;039033740913;13;0;0;0;0;0
2003 38 4;407;039033831069;13;0;0;0;0;0
2003 38 4;408;039033740304;13;1;0;0;0;0
2003 38 4;409;039033740063;13;0;0;0;0;1
2003 38 4;410;039033831001;13;0;0;0;0;0
2003 38 4;411;039033650032;13;0;0;0;1;0
2003 38 4;412;039033840889;10;1;0;0;0;1
2003 38 4;413;039033741247;6;0;0;0;0;0
2003 38 4;414;039033641030;6;0;0;0;0;0
2003 38 4;415;039033831074;6;1;0;0;0;0
2003 38 4;416;039033741460;6;0;0;0;0;1
2003 38 4;417;039033730277;6;0;0;0;0;0
2003 38 4;418;039033830098;6;1;0;0;0;0
2003 38 4;419;039033730068;6;0;1;1;0;0
2003 38 4;420;039033741496;3;0;0;0;0;1
2003 38 4;421;039033730402;3;1;0;0;0;0
2003 38 4;422;039033831131;13;0;0;0;0;0
2003 38 4;423;039033831264;13;0;0;0;0;0
2003 38 4;424;039033840857;7;1;0;0;0;1
2003 38 4;425;039033730646;7;0;0;0;0;0
2003 38 4;426;039033730336;7;0;0;0;0;0
2003 38 4;427;039033740632;7;0;0;0;0;0
2003 38 4;428;039033840861;7;1;0;0;0;1
2003 38 4;429;039033740024;3;0;0;0;1;0
2003 38 4;430;039033730440;3;0;0;0;0;0
2003 38 4;431;039033730500;13;1;0;0;0;0
2003 38 4;432;039033831552;13;0;0;0;0;0
2003 38 4;433;039033831124;13;0;0;0;0;0
2003 38 4;434;039033840907;10;1;0;0;0;1
2003 38 4;435;039033730787;10;0;0;0;0;0
2003 38 4;436;039033831094;10;0;0;0;0;0
2003 38 4;437;039033740561;10;1;0;0;0;0
2003 38 4;438;039033730472;10;0;0;0;0;1
2003 38 4;439;039033831327;13;0;0;0;0;0
2003 38 4;440;039033730501;13;1;0;0;0;0
2003 38 4;441;039033831265;13;0;0;0;0;0
2003 38 4;442;039033831253;13;0;0;0;0;0
2003 38 4;443;039033840760;1;1;0;0;0;1
2003 38 4;444;039033740544;1;0;0;0;0;0
2003 38 4;445;039033730642;1;0;0;0;0;0
2003 38 4;446;039033730436;1;0;0;0;0;0
2003 38 4;447;039033730767;7;0;0;0;0;0
2003 38 4;448;039033840826;7;1;0;0;0;1
2003 38 4;449;039033710323;8;0;0;0;1;0
2003 38 4;450;039033831454;8;0;0;0;0;0
2003 38 4;451;039033831016;8;0;0;0;0;0
2003 38 4;452;039033810101;3;1;0;0;0;1
2003 38 4;453;039033741146;3;0;0;1;0;0
2003 38 4;454;039033831053;8;0;1;0;0;0
2003 38 4;455;039033740249;10;1;0;0;0;0
2003 38 4;456;039033831202;10;0;0;0;0;0
2003 38 4;457;039033831277;10;0;0;0;0;0
2003 38 4;458;039033840884;10;1;0;0;0;1
2003 38 4;459;039033730488;9;0;0;0;0;0
2003 38 4;460;039033740545;9;0;0;0;0;0
2003 38 4;461;039033830992;9;0;0;0;0;0
2003 38 4;462;039033840711;9;1;0;0;0;1
2003 38 4;463;039033730466;1;0;0;0;0;0
2003 38 4;464;039033730468;1;0;0;0;0;0
2003 38 4;465;039033831034;1;0;0;0;0;0
2003 38 4;466;039033840762;1;1;0;0;0;1
2003 38 4;467;039033740087;8;0;0;0;1;0
2003 38 4;468;039033831017;8;0;0;0;0;0
2003 38 4;469;039033750019;1;1;0;0;0;0
2003 38 4;470;039033730492;1;0;0;0;0;0
2003 38 4;471;039033730437;1;0;0;0;0;0
2003 38 4;472;039033840766;1;1;0;0;0;1
2003 38 4;473;039033831031;13;0;0;0;0;0
2003 38 4;474;039033740953;13;0;0;0;0;0
2003 38 4;475;039033730502;13;1;0;0;0;0
2003 38 4;476;039033740871;13;0;0;0;0;1
2003 38 4;477;039033740307;13;0;0;0;0;0
2003 38 4;478;039033741026;13;0;0;0;0;0
2003 38 4;479;039033831061;13;0;0;0;0;0
2003 38 4;480;039033840916;10;1;0;0;0;1
2003 38 4;481;039033740074;10;0;1;1;0;0
2003 38 4;482;039033750223;10;0;0;0;0;0
2003 38 4;483;039033741183;9;0;0;0;0;0
2003 38 4;484;039033730680;9;0;0;0;0;0
2003 38 4;485;039033840695;9;1;0;0;0;1
2003 38 4;486;039033750132;9;0;0;0;0;0
2003 38 4;487;039033741085;9;0;0;0;1;0
2003 38 4;488;039033740755;9;1;0;0;0;0
2003 38 4;489;039033741395;8;0;0;0;0;1
2003 38 4;490;039033831356;8;0;0;0;0;0
2003 38 4;491;039033830957;8;1;0;0;0;0
2003 38 4;492;039033740342;5;0;0;0;0;0
2003 38 4;493;039033740934;5;0;0;0;0;1
2003 38 4;494;039033831396;5;0;0;0;0;0
2003 38 4;495;039033730138;5;1;0;0;0;0
2003 38 4;496;039033740424;5;0;0;0;0;0
2003 38 4;497;039033750245;5;0;0;0;0;0
2003 38 4;498;039033840820;5;1;0;0;0;1
2003 38 4;499;039033741568;5;0;0;0;0;0
2003 38 4;500;039033320573;5;0;0;0;0;0
2003 38 4;501;039033831011;5;0;0;0;0;0
2003 38 4;502;039033840818;5;1;0;0;0;1
2003 38 4;503;039033831012;5;0;0;0;0;0
2003 38 4;504;039033831013;5;0;0;0;0;0
2003 38 4;505;039033831267;5;0;0;0;0;0
2003 38 4;506;039033831268;5;0;0;0;0;0
2003 38 4;507;039033840813;5;1;0;0;0;1
