Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;LPRC11;LPRC12;LPRC13;LPRC14;LPRC15;LPRC16;LPRC17;LPRC18
2003 37 5;810;025033810269;9;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;811;025033730997;3;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1
2003 37 5;812;025033830692;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;813;025033820294;2;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
2003 37 5;814;025033520102;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;815;025033820532;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
2003 37 5;816;025033810284;9;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;817;025033810583;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
2003 37 5;818;025033820632;3;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
2003 37 5;819;025033520097;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;820;025033810244;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
2003 37 5;821;025033830309;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
2003 37 5;822;025033910059;10;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1
2003 37 5;823;025033720203;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;824;025033830424;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;825;025033810374;5;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;826;025033750759;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2003 37 5;827;025033810027;7;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;828;025033830689;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;829;025033810256;9;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
2003 37 5;830;025033820297;2;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
2003 37 5;831;025033830337;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;832;025033740853;3;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0
2003 37 5;833;025033810107;4;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
2003 37 5;834;025033750073;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 37 5;835;025033740347;11;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;836;025033750076;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;837;025033820037;4;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1
2003 37 5;838;025033720270;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;839;025033830339;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;840;025033810561;4;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
2003 37 5;841;025033740311;6;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;842;025033830476;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1
2003 37 5;843;025033830112;4;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;844;025033750288;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;845;025033810248;12;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
2003 37 5;846;025033810136;7;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
2003 37 5;847;025034030140;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0
2003 37 5;848;025033750431;7;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;849;025033830543;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;850;025033750765;13;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1
2003 37 5;851;025033810274;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;852;025033830696;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;853;025033630640;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0
2003 37 5;854;025033830684;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;855;025033830625;6;1;0;1;1;1;1;1;1;0;0;0;1;0;1;0;1;1;0;0;0;1;1
2003 37 5;856;025033820906;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 37 5;857;025033830687;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
2003 37 5;858;025033730155;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;859;025033810253;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
2003 37 5;860;025033830650;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;861;025033740376;3;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1
2003 37 5;862;025033810896;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;863;025033750415;6;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;864;025033820682;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
2003 37 5;865;025033910647;6;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;866;025033810289;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;867;025033930267;14;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;868;025033810247;12;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;869;025033740284;11;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1
2003 37 5;870;025033830390;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;871;025033820283;2;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
2003 37 5;872;025033740279;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
2003 37 5;873;025033750330;6;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1
2003 37 5;874;025033820195;12;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 37 5;875;025034210190;3;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;876;025033830695;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;877;025033820231;1;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;1;1
2003 37 5;878;025033730186;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;879;025033830358;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;880;025033750020;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;881;025033750193;8;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;882;025033830651;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;883;025033730154;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;884;025033810690;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;885;025033750443;7;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
2003 37 5;886;025033730188;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;887;025033820259;12;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 37 5;888;025033750165;6;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;889;025033740863;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;890;025033820298;2;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
2003 37 5;891;025033750468;3;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;892;025033810549;8;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
2003 37 5;893;025033830545;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;894;025033730246;7;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0
2003 37 5;895;025033820921;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
2003 37 5;896;025033820468;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;897;025033950041;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;898;025033810306;4;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1
2003 37 5;899;025033830551;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;900;025033750414;3;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1
2003 37 5;901;025033810457;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;902;025033810725;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2003 37 5;903;025033820523;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
2003 37 5;904;025033740954;3;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;905;025033750655;4;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;906;025033830550;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;907;025034150098;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
2003 37 5;908;025033820284;2;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
2003 37 5;909;025033820872;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
2003 37 5;910;025033830386;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;911;025033950205;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;912;025033750203;8;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;913;025033830552;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;914;025033750495;7;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;915;025033810562;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
2003 37 5;916;025033830758;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;917;025033820879;14;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1
2003 37 5;918;025033810216;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
2003 37 5;919;025033821023;1;1;0;1;1;1;1;1;1;0;0;0;1;0;1;0;0;1;0;0;1;1;1
2003 37 5;920;025033830004;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;921;025033810550;3;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1
2003 37 5;922;025033830592;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;923;025033810070;8;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
2003 37 5;924;025033810881;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;925;025033820303;2;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
2003 37 5;926;025034010140;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;927;025033830433;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;928;025033750767;9;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;929;025033750564;3;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;930;025033830300;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;931;025033630169;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0
2003 37 5;932;025033830496;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;933;025033750115;11;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;934;025033950482;8;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
2003 37 5;935;025033830020;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;936;025033740977;14;1;0;1;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
2003 37 5;937;025033820726;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
2003 37 5;938;025033830428;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;939;025033810311;8;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0
2003 37 5;940;025033820481;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;941;025033750352;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
2003 37 5;942;025033810076;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
2003 37 5;943;025033830431;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;944;025033740932;3;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1
2003 37 5;945;025033750200;3;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
2003 37 5;946;025033820322;2;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
2003 37 5;947;025033830429;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;948;025034010144;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;949;025033750582;4;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;950;025033830547;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
2003 37 5;951;025033730182;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
2003 37 5;952;025033820622;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1
2003 37 5;953;025033830003;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;954;025033750492;7;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;955;025033810485;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
2003 37 5;956;025033830251;3;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
2003 37 5;957;025034010139;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;958;025033810277;5;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;959;025033830305;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;960;025033830432;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;961;025033750777;5;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1
2003 37 5;962;025034010142;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;963;025033830528;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
2003 37 5;964;025033820761;4;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 37 5;965;025033741124;7;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;966;025033830088;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;967;025033750351;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
2003 37 5;968;025033821048;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1
2003 37 5;969;025033750185;9;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;970;025033830591;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1
2003 37 5;971;025034130247;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;972;025033820330;2;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
2003 37 5;973;025033820373;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
2003 37 5;974;025033740940;11;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1
2003 37 5;975;025033750004;15;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2003 37 5;976;025033750197;6;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
2003 37 5;977;025033810276;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
2003 37 5;978;025033830434;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;979;025033730218;11;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;980;025033810110;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
2003 37 5;981;025033830494;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;982;025033810154;6;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0
2003 37 5;983;025033810532;9;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1
2003 37 5;984;025033830399;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;985;025033810582;9;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1
2003 37 5;986;025033830001;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;987;025033750530;3;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;988;025033820688;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
2003 37 5;989;025034110254;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0
2003 37 5;990;025033830610;6;1;0;1;1;1;1;1;1;0;0;0;1;0;1;0;1;1;0;0;0;1;1
2003 37 5;991;025033750580;6;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
2003 37 5;992;025033910103;10;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;993;025034210090;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;994;025033830323;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;995;025033810841;5;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
2003 37 5;996;025033740866;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
2003 37 5;997;025033820288;2;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
2003 37 5;998;025033830338;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2003 37 5;999;025033750569;11;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1
2003 37 5;1000;025033810033;9;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;1001;025033820168;14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
2003 37 5;1002;025033810313;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 37 5;1003;025033810476;8;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 37 5;1004;025033810927;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
