Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;LPRC11;LPRC12
2003 39 1;33;048033910904;10;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
2003 39 1;34;048033860084;2;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
2003 39 1;35;048033820101;6;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0
2003 39 1;36;048033740641;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;37;048033740153;7;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 39 1;38;048033810379;7;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;39;048033910126;7;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
2003 39 1;40;048033860130;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;41;048033860150;6;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 39 1;42;048033840046;1;1;1;1;0;1;1;1;0;1;1;1;0;1;0;0;0;0
2003 39 1;43;048033860126;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;44;048033520929;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;45;048033860125;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;46;048033830373;3;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0
2003 39 1;47;048033860162;8;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
2003 39 1;48;048033910292;10;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
2003 39 1;49;048033860089;6;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 39 1;50;048033910139;2;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0
2003 39 1;51;048033860160;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;52;048033910037;11;0;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0
2003 39 1;53;048033860155;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;54;048033910935;5;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
2003 39 1;55;048033860161;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;56;048033830061;3;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;57;048033860110;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2003 39 1;58;048033910609;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;59;048033910270;2;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0
2003 39 1;60;048033830382;12;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0
2003 39 1;61;048033910951;12;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2003 39 1;62;048033911077;3;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;63;048033860108;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2003 39 1;64;048033820026;1;1;1;1;0;1;0;1;0;1;1;1;0;1;0;0;0;0
2003 39 1;65;048033860062;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;66;048033910142;3;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;67;048033860147;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;68;048033910432;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;69;048033860131;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2003 39 1;70;048033040125;10;1;1;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0
2003 39 1;71;048033860159;2;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
2003 39 1;72;048033860096;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;73;048033910230;3;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;74;048033860059;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;75;048033840005;3;1;1;1;0;1;1;1;0;1;1;1;0;0;0;0;0;0
2003 39 1;76;048033860091;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;77;048033910112;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;78;048033860037;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;79;048033830112;3;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;80;048033860078;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2003 39 1;81;048033910261;3;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;82;048033910916;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2003 39 1;83;048033840382;12;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;84;048033910085;3;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0
2003 39 1;85;048033910912;2;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
2003 39 1;86;048033910108;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
2003 39 1;87;048033810393;4;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0
2003 39 1;88;048033910636;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;89;048033860080;6;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0
2003 39 1;90;048033910017;3;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0
2003 39 1;91;048033810568;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;92;048033740695;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;93;048033910239;11;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;94;048033860014;11;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2003 39 1;95;048033810069;11;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0
2003 39 1;96;048033860135;5;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;97;048033910015;5;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
2003 39 1;98;048033860052;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
2003 39 1;99;048033830070;10;0;1;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0
2003 39 1;100;048033911031;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
2003 39 1;101;048033910594;1;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0
2003 39 1;102;048033911019;6;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 39 1;103;048033840041;7;1;1;1;0;1;0;1;0;1;1;1;0;0;0;0;0;0
2003 39 1;104;048033860040;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;105;048033910216;7;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;106;048033860054;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;107;048033720055;5;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;108;048033910104;5;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
2003 39 1;109;048033860113;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;110;048033910218;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;111;048033860163;5;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2003 39 1;112;048033840027;10;1;1;1;0;1;1;1;0;1;1;1;0;0;0;1;0;0
2003 39 1;113;048033860082;5;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;114;048033910501;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;115;048033910297;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;116;048033860116;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2003 39 1;117;048033820070;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0
2003 39 1;118;048033860152;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;119;048033910145;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;120;048033860081;5;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;121;048033840004;5;0;1;1;0;1;1;1;0;1;1;1;0;0;0;0;0;0
2003 39 1;122;048033911053;6;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0
2003 39 1;123;048033910899;2;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
2003 39 1;124;048033810420;7;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;125;048033910617;9;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;126;048033860127;4;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 39 1;127;048033910296;6;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
2003 39 1;128;048033820673;7;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;129;048033910249;7;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;130;048033860046;7;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;131;048033910193;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0
2003 39 1;132;048033810422;4;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 39 1;133;048033910306;5;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;134;048033911079;9;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0
2003 39 1;135;048033910068;6;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0
2003 39 1;136;048033820672;8;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1
2003 39 1;137;048033910271;10;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
2003 39 1;138;048033910047;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;139;048033911028;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
2003 39 1;140;048033840031;6;1;1;1;0;1;1;1;0;1;1;1;0;0;0;0;1;0
2003 39 1;141;048033911017;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;142;048033910149;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;143;048033860093;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2003 39 1;144;048033910260;3;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;145;048033860036;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;146;048033430177;3;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0
2003 39 1;147;048033860039;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;148;048033910519;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;149;048033860112;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2003 39 1;150;048033840038;2;1;1;1;0;1;1;1;0;1;1;1;0;0;1;0;0;0
2003 39 1;151;048033911048;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2003 39 1;152;048033910169;3;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;153;048033860015;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;154;048033840406;3;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0
2003 39 1;155;048033910253;6;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
2003 39 1;156;048033911012;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
2003 39 1;157;048033910267;10;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
2003 39 1;158;048033910516;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;159;048033840003;1;0;1;1;0;1;1;1;0;1;1;1;0;1;0;0;0;0
2003 39 1;160;048033911043;11;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2003 39 1;161;048033910163;6;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
2003 39 1;162;048033750514;5;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;163;048033910548;5;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;164;048033830350;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;165;048033910184;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;166;048033911037;11;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 39 1;167;048033850147;6;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0
2003 39 1;168;048033911052;2;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
2003 39 1;169;048033910114;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;170;048033860038;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;171;048033840229;3;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0
2003 39 1;172;048033911029;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;173;048033910088;3;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;174;048033911061;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;175;048033910178;3;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;176;048033911015;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;177;048033840030;7;1;1;1;0;1;1;1;0;1;1;1;0;0;0;0;0;0
2003 39 1;178;048033860041;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;179;048033910286;7;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;180;048033860123;7;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2003 39 1;181;048033820074;10;0;1;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0
2003 39 1;182;048033911063;4;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
2003 39 1;183;048033910242;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;184;048033911057;3;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;185;048033910128;3;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;186;048033830344;6;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
2003 39 1;187;048033910194;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;188;048033860132;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;189;048033910252;3;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;190;048033910993;2;1;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0
2003 39 1;191;048033910046;6;0;1;0;0;1;1;1;0;1;1;1;0;0;0;0;1;0
2003 39 1;192;048033860103;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;193;048033850180;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0
2003 39 1;194;048033860145;5;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;195;048033910204;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;196;048033860043;6;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
2003 39 1;197;048033820538;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;198;048033910018;11;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
2003 39 1;199;048033860094;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;200;048033910102;3;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
2003 39 1;201;048033810003;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;202;048033830108;3;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0
2003 39 1;203;048033860119;8;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1
2003 39 1;204;048033910122;6;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
2003 39 1;205;048033860139;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;206;048033820107;5;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;207;048033860057;5;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;208;048033910236;5;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
2003 39 1;209;048034230083;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;210;048033810428;6;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0
2003 39 1;211;048033910357;5;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;212;048033910190;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;213;048033860149;5;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2003 39 1;214;048033830020;5;1;1;1;0;1;1;1;0;1;1;1;0;0;0;0;0;0
2003 39 1;215;048033910962;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;216;048033910144;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;217;048033860115;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2003 39 1;218;048033830076;2;0;1;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0
2003 39 1;219;048033911069;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;220;048033910588;9;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;221;048033911051;9;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2003 39 1;222;048033840011;1;1;1;1;0;1;1;1;0;1;1;1;0;1;0;0;0;0
2003 39 1;223;048033860109;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2003 39 1;224;048033910115;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;225;048033910217;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;226;048033820370;7;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;227;048033910235;7;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 39 1;228;048033910948;8;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
2003 39 1;229;048033910214;10;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0
2003 39 1;230;048033860088;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2003 39 1;231;048033910121;3;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;232;048033810252;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;233;048033910065;3;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0
2003 39 1;234;048033860086;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;235;048033910273;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;236;048033910955;6;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
2003 39 1;237;048033840007;1;1;1;1;0;1;1;1;0;1;1;1;0;1;0;0;0;0
2003 39 1;238;048033910995;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;239;048033810621;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;240;048033910179;3;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;241;048033810376;2;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
2003 39 1;242;048033910304;10;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0
2003 39 1;243;048033910566;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;244;048033910103;3;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
2003 39 1;245;048033820064;3;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;246;048033910503;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;247;048033910251;3;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2003 39 1;248;048033911030;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2003 39 1;249;048033911058;11;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0
2003 39 1;250;048033840028;11;0;1;1;0;1;1;1;0;1;1;1;0;0;0;0;0;0
2003 39 1;251;048033911011;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
2003 39 1;252;048033910266;6;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
2003 39 1;253;048033911006;4;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2003 39 1;254;048033810070;1;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0
2003 39 1;255;048033860087;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2003 39 1;256;048033910157;10;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0
2003 39 1;257;048033910303;6;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
