Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6
2003 38 4;72;022033840379;10;0;0;0;0;0;0;0;0;0
2003 38 4;73;022033810283;10;1;0;0;0;0;0;0;0;0
2003 38 4;74;022033840336;10;1;1;0;0;0;0;0;0;0
2003 38 4;75;022033840088;10;1;0;0;0;0;0;0;0;1
2003 38 4;76;022033830017;10;1;0;0;0;1;0;0;1;0
2003 38 4;77;022033840407;10;0;0;0;0;0;0;0;0;0
2003 38 4;78;022033840102;10;1;0;0;0;0;0;0;0;1
2003 38 4;79;022033840037;4;1;1;0;0;0;0;0;0;0
2003 38 4;80;022033840205;8;1;0;0;0;0;0;0;0;0
2003 38 4;81;022033840180;8;1;0;0;0;0;0;0;0;0
2003 38 4;82;022033840013;8;0;0;0;0;0;0;0;0;1
2003 38 4;83;022033840208;8;1;0;0;0;0;0;0;0;0
2003 38 4;84;022033840194;8;1;0;0;0;0;0;0;0;0
2003 38 4;85;022033840183;8;1;0;0;0;0;0;0;0;0
2003 38 4;86;022033840190;8;1;0;0;0;0;0;0;0;0
2003 38 4;87;022033840196;8;1;0;0;0;0;0;0;0;0
2003 38 4;88;022033840344;8;0;1;0;0;0;0;0;0;0
2003 38 4;89;022033840295;6;1;0;0;0;0;0;0;0;0
2003 38 4;90;022033840265;6;1;0;0;0;0;0;0;0;0
2003 38 4;91;022033840127;6;1;1;0;0;0;1;0;0;0
2003 38 4;92;022033840290;6;1;0;0;0;0;0;0;0;0
2003 38 4;93;022033840270;6;1;0;0;0;0;0;0;0;0
2003 38 4;94;022033840353;6;0;0;0;1;0;0;0;0;0
2003 38 4;95;022033840315;6;1;0;0;0;0;0;0;0;0
2003 38 4;96;022033840269;6;1;0;0;0;0;0;0;0;0
2003 38 4;97;022033840287;6;1;0;0;0;0;0;0;0;0
2003 38 4;98;022033840272;6;1;0;0;0;0;0;0;0;0
2003 38 4;99;022033840280;6;1;0;0;0;0;0;0;0;0
2003 38 4;100;022033830378;1;0;0;0;0;0;0;0;0;0
2003 38 4;101;022033840334;11;1;1;0;0;0;0;0;0;0
2003 38 4;102;022033840128;11;1;0;0;0;0;0;0;0;0
2003 38 4;103;022033840120;11;1;0;0;0;0;0;0;0;0
2003 38 4;104;022033840245;11;1;1;0;0;0;0;0;0;0
2003 38 4;105;022033840263;6;1;0;0;0;0;0;0;0;0
2003 38 4;106;022033840389;6;0;0;0;0;0;0;0;0;0
2003 38 4;107;022033840259;6;1;0;0;0;0;0;0;0;0
2003 38 4;108;022033840305;6;1;0;0;0;0;0;0;0;0
2003 38 4;109;022033840271;6;1;0;0;0;0;0;0;0;0
2003 38 4;110;022033840281;6;1;0;0;0;0;0;0;0;0
2003 38 4;111;022033840044;4;1;1;0;0;0;0;0;0;0
2003 38 4;112;022033840347;7;0;0;0;1;0;0;0;0;0
2003 38 4;113;022033840372;7;1;0;0;0;0;0;0;0;0
2003 38 4;114;022033840354;7;0;0;0;1;0;0;0;0;0
2003 38 4;115;022033840325;7;0;0;0;0;0;0;0;0;0
2003 38 4;116;022033840348;7;0;0;0;1;0;0;0;0;0
2003 38 4;117;022033840373;7;1;0;0;0;0;0;0;0;0
2003 38 4;118;022033840402;7;0;0;0;1;0;0;0;0;0
2003 38 4;119;022033840229;9;1;0;0;0;0;0;0;0;0
2003 38 4;120;022033630213;9;1;0;0;0;0;0;0;0;0
2003 38 4;121;022033730255;9;1;0;0;0;0;0;0;0;0
2003 38 4;122;022033730232;9;1;0;0;0;0;0;0;0;0
2003 38 4;123;022033910075;9;1;0;0;0;0;0;0;0;0
2003 38 4;124;022033830177;9;0;0;0;0;0;0;0;0;0
2003 38 4;125;022033830334;9;0;0;0;0;0;0;0;0;0
2003 38 4;126;022033840385;9;1;1;0;0;0;0;0;0;0
2003 38 4;127;022033830151;9;0;0;0;0;0;0;0;0;0
2003 38 4;128;022033840390;9;0;0;0;1;0;0;0;0;0
2003 38 4;129;022033840288;6;1;0;0;0;0;0;0;0;0
2003 38 4;130;022033840289;6;1;0;0;0;0;0;0;0;0
2003 38 4;131;022033840266;6;1;0;0;0;0;0;0;0;0
2003 38 4;132;022033840264;6;1;0;0;0;0;0;0;0;0
2003 38 4;133;022033840303;6;1;0;0;0;0;0;0;0;0
2003 38 4;134;022033840330;6;0;0;0;0;0;0;0;0;0
2003 38 4;135;022033840304;6;1;0;0;0;0;0;0;0;0
2003 38 4;136;022033820077;6;1;0;0;0;0;0;0;0;1
2003 38 4;137;022033840284;6;1;0;0;0;0;0;0;0;0
2003 38 4;138;022033840255;6;1;0;0;0;0;0;0;0;0
2003 38 4;139;022033840286;6;1;0;0;0;0;0;0;0;0
2003 38 4;140;022033840308;6;0;0;0;0;0;0;0;0;0
2003 38 4;141;022033840299;6;1;0;0;0;0;0;0;0;0
2003 38 4;142;022033840292;6;1;0;0;0;0;0;0;0;0
2003 38 4;143;022033840275;6;1;0;0;0;0;0;0;0;0
2003 38 4;144;022033840278;6;1;0;0;0;0;0;0;0;0
2003 38 4;145;022033840361;6;0;0;0;1;0;0;0;0;0
2003 38 4;146;022033840296;6;1;0;0;0;0;0;0;0;0
2003 38 4;147;022033840294;6;1;0;0;0;0;0;0;0;0
2003 38 4;148;022033840274;6;1;0;0;0;0;0;0;0;0
2003 38 4;149;022033840291;6;1;0;0;0;0;0;0;0;0
2003 38 4;150;022033840253;6;1;0;0;0;0;0;0;0;0
2003 38 4;151;022033830285;6;0;0;0;0;0;0;0;0;0
2003 38 4;152;022033840085;10;1;0;0;0;0;0;0;0;1
2003 38 4;153;022033840153;10;1;0;0;0;0;0;0;0;0
2003 38 4;154;022033830016;10;1;0;0;0;1;0;0;1;0
2003 38 4;155;022033840133;10;1;0;0;0;0;0;0;0;0
2003 38 4;156;022033840077;10;1;0;0;0;0;0;0;0;1
2003 38 4;157;022033840396;10;0;0;0;1;0;0;0;0;0
2003 38 4;158;022033840134;10;1;0;0;0;0;0;0;0;0
2003 38 4;159;022033840368;10;1;1;0;0;0;0;0;0;0
2003 38 4;160;022033840075;10;1;0;0;0;0;1;0;0;1
2003 38 4;161;022033840132;10;1;0;0;0;0;0;0;0;0
2003 38 4;162;022033840307;10;0;0;0;0;0;0;0;0;0
2003 38 4;163;022033840033;10;1;0;0;0;0;0;0;0;1
2003 38 4;164;022033840145;10;1;0;0;0;0;0;0;0;0
2003 38 4;165;022033840149;10;1;0;0;0;0;0;0;0;0
2003 38 4;166;022033840023;10;1;0;0;0;0;0;0;0;1
2003 38 4;167;022033810291;10;1;0;0;0;0;0;0;0;0
2003 38 4;168;022033820303;10;0;0;0;0;0;0;0;0;0
2003 38 4;169;022033840154;10;1;0;0;0;0;0;0;0;0
2003 38 4;170;022033840034;10;1;0;0;0;0;0;0;0;1
2003 38 4;171;022033840014;10;1;0;0;0;0;0;0;1;0
2003 38 4;172;022033840150;10;1;0;0;0;0;0;0;0;0
2003 38 4;173;022033830036;10;1;0;0;0;0;0;1;0;1
2003 38 4;174;022033840383;7;0;0;0;1;0;0;0;0;0
2003 38 4;175;022033840405;7;0;0;0;1;0;0;0;0;0
2003 38 4;176;022033840360;7;0;1;0;0;0;0;0;0;0
2003 38 4;177;022033840326;7;0;0;0;0;0;0;0;0;0
2003 38 4;178;022033840250;7;1;0;0;0;0;0;0;0;0
2003 38 4;179;022033840351;7;0;0;0;1;0;0;0;0;0
2003 38 4;180;022033840311;7;1;0;0;0;0;0;0;0;0
2003 38 4;181;022033840365;7;0;0;0;1;0;0;0;0;0
2003 38 4;182;022033730252;7;1;0;0;0;0;0;0;0;0
2003 38 4;183;022033840220;7;1;0;0;0;0;0;0;0;0
2003 38 4;184;022033840380;7;0;0;0;1;0;0;0;0;0
2003 38 4;185;022033840364;7;0;0;0;1;0;0;0;0;0
2003 38 4;186;022033840239;12;0;0;0;0;0;0;0;0;0
2003 38 4;187;022033550219;12;1;0;0;0;0;0;0;0;0
2003 38 4;188;022033810327;12;1;0;0;0;0;0;0;0;0
2003 38 4;189;022033550197;12;1;0;0;0;0;0;0;0;0
2003 38 4;190;022033730323;12;0;0;0;0;0;0;0;0;0
2003 38 4;191;022033720497;12;1;0;0;0;0;0;0;0;0
2003 38 4;192;022033840216;12;1;0;0;0;0;0;0;0;0
2003 38 4;193;022033810326;12;1;0;0;0;0;0;0;0;0
2003 38 4;194;022033730218;12;1;0;0;0;0;0;0;0;0
2003 38 4;195;022033840398;7;0;0;0;1;0;0;0;0;0
2003 38 4;196;022033840394;7;0;0;0;1;0;0;0;0;0
2003 38 4;197;022033840377;7;0;0;0;1;0;0;0;0;0
2003 38 4;198;022033840349;7;0;0;0;1;0;0;0;0;0
2003 38 4;199;022033840400;7;0;0;0;1;0;0;0;0;0
2003 38 4;200;022033840345;7;0;0;0;1;0;0;0;0;0
2003 38 4;201;022033840403;7;0;0;0;1;0;0;0;0;0
2003 38 4;202;022033830324;5;1;0;0;0;0;0;0;0;0
2003 38 4;203;022033830303;5;1;0;0;0;0;0;0;0;0
2003 38 4;204;022033830163;5;1;0;0;0;0;0;0;0;0
2003 38 4;205;022033840343;8;0;1;0;0;0;0;0;0;0
2003 38 4;206;022033730291;8;1;0;0;0;0;0;0;0;0
2003 38 4;207;022033840206;8;1;0;0;0;0;0;0;0;0
2003 38 4;208;022033830145;4;1;0;0;0;0;0;0;0;0
2003 38 4;209;022033840048;4;1;1;0;0;0;0;0;0;0
2003 38 4;210;022033850176;4;0;0;0;0;0;0;0;0;0
2003 38 4;211;022033840096;4;1;0;0;0;0;0;0;0;1
2003 38 4;212;022033840038;4;1;1;0;0;0;0;0;0;0
2003 38 4;213;022033840342;7;0;0;0;1;0;0;0;0;0
2003 38 4;214;022033840312;7;0;0;0;0;0;0;0;0;0
2003 38 4;215;022033840382;7;0;0;0;1;0;0;0;0;0
2003 38 4;216;022033840217;7;1;0;0;0;0;0;0;0;0
2003 38 4;217;022033840222;7;1;0;0;0;0;0;0;0;0
2003 38 4;218;022033840346;7;0;0;0;1;0;0;0;0;0
2003 38 4;219;022033840392;7;0;0;0;1;0;0;0;0;0
2003 38 4;220;022033840045;4;1;1;0;0;0;0;0;0;0
2003 38 4;221;022033830161;9;0;0;0;0;0;0;0;0;0
2003 38 4;222;022033830180;9;1;0;0;0;0;0;0;0;0
2003 38 4;223;022033830004;4;1;0;0;0;0;0;0;0;0
2003 38 4;224;022033840041;4;1;1;0;0;0;0;0;0;0
2003 38 4;225;022033830015;4;1;0;0;0;1;0;0;1;0
2003 38 4;226;022033850175;4;0;0;0;0;0;0;0;0;0
2003 38 4;227;022033840047;4;1;1;0;0;0;0;0;0;0
2003 38 4;228;022033840211;8;1;0;0;0;0;0;0;0;0
2003 38 4;229;022033840201;8;1;0;0;0;0;0;0;0;0
2003 38 4;230;022033840200;8;1;0;0;0;0;0;0;0;0
2003 38 4;231;022033830032;8;1;0;0;0;0;0;1;0;1
2003 38 4;232;022033840339;8;0;1;0;0;0;0;0;0;0
2003 38 4;233;022033840184;8;1;0;0;0;0;0;0;0;0
2003 38 4;234;022033840215;8;1;0;0;0;0;0;0;0;0
2003 38 4;235;022033840178;8;1;0;0;0;0;0;0;0;0
2003 38 4;236;022033830042;8;1;0;0;0;0;0;1;0;1
2003 38 4;237;022033840214;8;1;0;0;0;0;0;0;0;0
2003 38 4;238;022033840317;8;0;1;0;0;0;0;0;0;0
2003 38 4;239;022033840182;8;1;0;0;0;0;0;0;0;0
2003 38 4;240;022033840177;8;1;0;0;0;0;0;0;0;0
2003 38 4;241;022033840388;8;1;1;0;0;0;0;0;0;0
2003 38 4;242;022033840371;7;0;0;0;1;0;0;0;0;0
2003 38 4;243;022033840363;7;0;0;0;1;0;0;0;0;0
2003 38 4;244;022033840404;7;0;0;0;1;0;0;0;0;0
2003 38 4;245;022033840378;7;0;0;0;1;0;0;0;0;0
2003 38 4;246;022033840376;7;0;0;0;1;0;0;0;0;0
2003 38 4;247;022033840397;7;0;0;0;1;0;0;0;0;0
2003 38 4;248;022033840362;7;0;0;0;1;0;0;0;0;0
2003 38 4;249;022033840395;7;0;0;0;1;0;0;0;0;0
2003 38 4;250;022033840240;7;0;0;0;0;0;0;0;0;0
2003 38 4;251;022033840050;4;1;1;0;0;0;0;0;0;0
2003 38 4;252;022033830041;8;1;0;0;0;0;0;1;0;1
2003 38 4;253;022033840212;8;1;0;0;0;0;0;0;0;0
2003 38 4;254;022033840188;8;1;0;0;0;0;0;0;0;0
2003 38 4;255;022033840318;8;0;1;0;0;0;0;0;0;0
2003 38 4;256;022033840181;8;1;0;0;0;0;0;0;0;0
2003 38 4;257;022033840202;8;1;0;0;0;0;0;0;0;0
2003 38 4;258;022033840195;8;1;0;0;0;0;0;0;0;0
2003 38 4;259;022033840175;8;1;0;0;0;0;0;0;0;0
2003 38 4;260;022033840209;8;1;0;0;0;0;0;0;0;0
2003 38 4;261;022033720567;8;0;0;0;0;0;0;0;0;0
2003 38 4;262;022033840174;8;1;0;0;0;0;0;0;0;0
2003 38 4;263;022033830045;8;1;0;0;0;0;0;0;0;1
2003 38 4;264;022033840213;8;1;0;0;0;0;0;0;0;0
2003 38 4;265;022033840185;8;1;0;0;0;0;0;0;0;0
2003 38 4;266;022033830044;8;1;0;0;0;0;0;1;0;1
2003 38 4;267;022033840381;7;0;0;0;1;0;0;0;0;0
2003 38 4;268;022033810297;7;1;0;0;0;0;0;0;0;0
2003 38 4;269;022033840130;10;1;0;0;0;0;0;0;0;0
2003 38 4;270;022033840029;10;1;0;0;0;0;0;0;0;1
2003 38 4;271;022033840156;10;1;0;0;0;0;0;0;0;0
2003 38 4;272;022033840043;4;1;1;0;0;0;0;0;0;0
2003 38 4;273;022033840233;6;0;0;0;0;0;0;0;0;0
2003 38 4;274;022033840261;6;1;0;0;0;0;0;0;0;0
2003 38 4;275;022033840301;6;1;0;0;0;0;0;0;0;0
2003 38 4;276;022033840276;6;1;0;0;0;0;0;0;0;0
2003 38 4;277;022033840260;6;1;0;0;0;0;0;0;0;0
2003 38 4;278;022033840285;6;1;0;0;0;0;0;0;0;0
2003 38 4;279;022033840310;7;0;0;0;0;0;0;0;0;0
2003 38 4;280;022033840355;7;0;0;0;1;0;0;0;0;0
2003 38 4;281;022033840356;7;0;0;0;1;0;0;0;0;0
2003 38 4;282;022033840309;7;0;0;0;0;0;0;0;0;0
2003 38 4;283;022033840350;7;0;0;0;1;0;0;0;0;0
2003 38 4;284;022033840399;7;0;0;0;1;0;0;0;0;0
2003 38 4;285;022033830341;7;0;0;0;0;0;0;0;0;0
2003 38 4;286;022033840370;7;0;0;0;1;0;0;0;0;0
2003 38 4;287;022033830340;7;0;0;0;0;0;0;0;0;0
2003 38 4;288;022033840401;7;0;0;0;1;0;0;0;0;0
2003 38 4;289;022033840366;7;0;0;0;1;0;0;0;0;0
2003 38 4;290;022033840359;7;0;0;0;1;0;0;0;0;0
2003 38 4;291;022033830008;5;1;0;0;0;0;0;0;0;0
2003 38 4;292;022033840080;5;1;0;0;0;0;0;0;0;0
2003 38 4;293;022033840062;5;1;0;0;0;0;0;0;0;0
2003 38 4;294;022033840052;5;1;0;0;0;0;0;0;0;0
2003 38 4;295;022033840066;5;1;0;0;0;0;0;0;0;0
2003 38 4;296;022033830394;5;0;0;0;0;0;0;0;0;0
2003 38 4;297;022033840151;10;1;0;0;0;0;0;0;0;0
2003 38 4;298;022033840155;10;1;0;0;0;0;0;0;0;0
2003 38 4;299;022033840144;10;1;0;0;0;0;0;0;0;0
2003 38 4;300;022033840030;10;1;0;0;0;0;0;0;0;1
2003 38 4;301;022033630212;10;1;0;0;0;0;0;0;0;0
2003 38 4;302;022033840306;10;0;0;0;1;0;0;0;0;0
2003 38 4;303;022033840021;10;1;0;0;0;0;0;0;0;1
2003 38 4;304;022033840152;10;1;0;0;0;0;0;0;0;0
2003 38 4;305;022033840367;10;0;1;0;0;0;0;0;0;0
2003 38 4;306;022033840157;10;1;0;0;0;0;0;0;0;0
2003 38 4;307;022033840024;10;1;0;0;0;0;0;0;0;1
2003 38 4;308;022033840241;10;1;1;0;0;0;0;0;0;0
2003 38 4;309;022033810354;10;1;0;0;0;0;0;0;0;0
2003 38 4;310;022033830037;10;1;0;0;0;0;0;1;0;1
2003 38 4;311;022033830273;10;0;0;0;0;0;0;0;0;0
2003 38 4;312;022033840246;10;1;1;0;0;0;0;0;0;0
2003 38 4;313;022033840019;10;1;0;0;0;0;0;0;0;1
2003 38 4;314;022033840298;6;1;0;0;0;0;0;0;0;0
2003 38 4;315;022033840283;6;1;0;0;0;0;0;0;0;0
2003 38 4;316;022033840254;6;1;0;0;0;0;0;0;0;0
2003 38 4;317;022033830389;6;0;0;0;0;0;0;0;0;0
2003 38 4;318;022033840300;6;1;0;0;0;0;0;0;0;0
2003 38 4;319;022033840341;6;1;1;0;0;0;0;0;0;0
2003 38 4;320;022033840279;6;1;0;0;0;0;0;0;0;0
2003 38 4;321;022033840192;8;1;0;0;0;0;0;0;0;0
2003 38 4;322;022033840248;8;0;1;0;0;0;0;0;0;0
2003 38 4;323;022033830040;8;1;0;0;0;0;0;1;0;1
2003 38 4;324;022033840198;8;1;0;0;0;0;0;0;0;0
2003 38 4;325;022033840191;8;1;0;0;0;0;0;0;0;0
2003 38 4;326;022033840203;8;1;0;0;0;0;0;0;0;0
2003 38 4;327;022033830240;8;1;1;0;0;0;0;0;0;0
2003 38 4;328;022033840391;8;0;0;0;1;0;0;0;0;0
2003 38 4;329;022033840327;8;1;0;1;0;1;0;0;0;1
2003 38 4;330;022033610949;8;1;0;0;0;0;0;0;0;0
2003 38 4;331;022033840204;8;1;0;0;0;0;0;0;0;0
2003 38 4;332;022033830043;8;1;0;0;0;0;0;1;0;1
2003 38 4;333;022033840187;8;1;0;0;0;0;0;0;0;0
2003 38 4;334;022033840227;8;0;0;0;0;0;0;0;0;0
2003 38 4;335;022033840236;11;1;1;0;0;0;0;0;0;0
2003 38 4;336;022033840129;10;1;0;0;0;0;0;0;0;0
2003 38 4;337;022033840148;10;1;0;0;0;0;0;0;0;0
2003 38 4;338;022033840323;10;1;1;0;0;0;0;0;0;0
2003 38 4;339;022033840234;10;0;0;0;0;0;0;0;0;0
2003 38 4;340;022033830035;10;1;0;0;0;0;0;1;0;1
2003 38 4;341;022033840226;10;1;0;0;0;0;0;0;0;0
2003 38 4;342;022033550123;10;1;0;0;0;0;0;0;0;0
2003 38 4;343;022033840032;10;1;0;0;0;0;0;0;0;1
2003 38 4;344;022033830166;9;1;0;0;0;0;0;0;0;0
2003 38 4;345;022033830013;9;0;0;0;0;0;0;0;0;0
2003 38 4;346;022033840293;6;1;0;0;0;0;0;0;0;0
2003 38 4;347;022033840297;6;1;0;0;0;0;0;0;0;0
2003 38 4;348;022033840258;6;1;0;0;0;0;0;0;0;0
2003 38 4;349;022033840267;6;1;0;0;0;0;0;0;0;0
2003 38 4;350;022033840252;6;1;0;0;0;0;0;0;0;0
2003 38 4;351;022033830380;6;0;0;0;0;0;0;0;0;0
2003 38 4;352;022033840273;6;1;0;0;0;0;0;0;0;0
2003 38 4;353;022033840256;6;1;0;0;0;0;0;0;0;0
2003 38 4;354;022033840244;6;1;0;0;0;0;0;0;0;0
2003 38 4;355;022033840262;6;1;0;0;0;0;0;0;0;0
2003 38 4;356;022033840322;7;0;0;0;1;0;0;0;0;0
2003 38 4;357;022033840324;7;0;0;0;1;0;0;0;0;0
2003 38 4;358;022033840329;7;0;0;0;1;0;0;0;0;0
2003 38 4;359;022033830392;7;1;0;0;0;0;0;0;0;0
2003 38 4;360;022033840321;7;0;0;0;1;0;0;0;0;0
2003 38 4;361;022033840328;7;0;0;0;1;0;0;0;0;0
2003 38 4;362;022033840320;7;0;0;0;1;0;0;0;0;0
2003 38 4;363;022033840231;7;1;0;0;0;0;0;0;0;0
2003 38 4;364;022033840219;7;1;0;0;0;0;0;0;0;0
2003 38 4;365;022033840016;7;0;1;0;0;0;0;0;0;0
2003 38 4;366;022033840218;7;0;0;0;1;0;0;0;0;0
2003 38 4;367;022033840115;7;0;0;0;1;0;0;0;0;0
2003 38 4;368;022033840082;7;0;0;0;1;0;0;0;0;0
2003 38 4;369;022033840010;7;0;0;0;1;0;0;0;0;0
2003 38 4;370;022033840221;7;1;0;0;0;0;0;0;0;0
2003 38 4;371;022033840003;7;0;0;0;1;0;0;0;0;0
2003 38 4;372;022033840002;7;0;0;0;1;0;0;0;0;0
2003 38 4;373;022033840001;7;0;0;0;1;0;0;0;0;0
2003 38 4;374;022033840061;5;1;0;0;0;0;0;0;0;0
2003 38 4;375;022033840054;5;1;0;0;0;0;0;0;0;0
2003 38 4;376;022033830153;5;0;0;0;0;0;0;0;0;0
2003 38 4;377;022033840068;5;1;0;0;0;0;0;0;0;0
2003 38 4;378;022033840063;5;1;0;0;0;0;0;0;0;0
2003 38 4;379;022033830014;5;1;0;0;0;1;0;0;1;0
2003 38 4;380;022033840065;5;1;0;0;0;0;0;0;0;0
2003 38 4;381;022033830012;5;0;0;0;0;0;0;0;0;0
2003 38 4;382;022033840056;5;1;0;0;0;0;0;0;0;0
2003 38 4;383;022033840057;5;1;0;0;0;0;0;0;0;0
2003 38 4;384;022033840060;5;1;0;0;0;0;0;0;0;0
2003 38 4;385;022033840316;8;0;1;0;0;0;0;0;0;0
2003 38 4;386;022033840193;8;1;0;0;0;0;0;0;0;0
2003 38 4;387;022033840186;8;1;0;0;0;0;0;0;0;0
2003 38 4;388;022033840176;8;1;0;0;0;0;0;0;0;0
2003 38 4;389;022033910109;8;0;0;0;0;0;0;0;0;0
2003 38 4;390;022033840197;8;1;0;0;0;0;0;0;0;0
2003 38 4;391;022033840117;8;1;0;0;0;0;0;0;0;0
2003 38 4;392;022033840123;8;1;0;0;0;0;0;0;0;0
2003 38 4;393;022033830046;8;1;0;0;0;0;0;0;0;1
